ZIP Name,Last MAME version tested,Game Flags,Additional Notes
smbsp,,0,
smbspa,,0,
asteka2,,0,
tankent2,,0,
tetris,,0,
thexder,,0,
thndrbal,,0,
timepara,,0,
tokyo,,0,
tokyons,,0,
topzip,,0,
druaga,,0,
toypop,,0,
triton,,0,
trumpkyo,,0,
ultima4,,0,
ultima4a,,0,
uootoy,,0,
victnine,,0,
wibarm,,0,
wibarma,,0,
will,,0,
wingman,,0,
wingman2,,0,
wizardry,,0,
wizardr2,,0,
wizardr4,,0,
woodypoc,,0,
woodypoca,,0,
woodypocb,,0,
worldgl2,,0,
xanadu,,0,
xanadu2,,0,
ys,,0,
ys2,,0,
zeliard,,0,
algarna,,0,
bastard,,0,
mars,,0,
marsa,,0,
marsb,,0,
darkstrm,,0,
dezeni,,0,
dezenia,,0,
dialide,,0,
dialidea,,0,
dione,,0,
dslayer,,0,
fairires,,0,
5sdream,,0,
frontlin,,0,
galaga,,0,
galaxian,,0,
gatlabyr,,0,
hyprol84,,0,
irohanih,,0,
issural,,0,
knither,,0,
labyrint,,0,
lizard,,0,
lovechas,,0,
lovechasa,,0,
marvels,,0,
marvelsa,,0,
marvelsb,,0,
mikichan,,0,
newtype,,0,
newtypea,,0,
punchbal,,0,
poplemon,,0,
portopia,,0,
rwings,,0,
saziri,,0,
saziria,,0,
state,,0,
bshashsc,,0,
tforce,,0,
vip,,0,
vipa,,0,
vipb,,0,
vipc,,0,
vipd,,0,
wizardr3,,0,
xevious,,0,
xeviousa,,0,
ys3,,0,
zeta5,,0,
pstar2,,0,
dokkin,,0,
triviaq,,0,
namcovgm,,0,
kudokika,,0,
sayaka,,0,
moritash,,0,
emono1,,0,
tenshit,,0,
albatros,,0,
albatrosx,,0,
albatrosjc,,0,
albatrosv,,0,
albatrosw,,0,
arctic,,0,
asteka,,0,
balonfgt,,0,
btanuki,,0,
bgorilla,,0,
byaku,,0,
casablan,,0,
csoldier,,0,
dome,,0,
donjuan,,0,
elthlead,,0,
golques,,0,
gyrodine,,0,
afterdrk,,0,
hayato,,0,
hotdog,,0,
ishinara,,0,
jotunn,,0,
kaleidos,,0,
kohakuir,,0,
laptick,,0,
lastwar,,0,
legend,,0,
madelein,,0,
melonsod,,0,
nukenind,,0,
penguinw,,0,
produce,,0,
rebirth,,0,
srambo,,0,
sirius1,,0,
sangoku,,0,
satsujin,,0,
kissmurd,,0,
sf3dopv,,0,
startrap,,0,
uruseiya,,0,
zgundam,,0,
eggyd,,0,
yaksadem,,0,
x1demo,,0,
x1cdemo,,0,
x1demoa,,0,
x1fdemo,,0,
x1gdemo,,0,
x1gdemoa,,0,
x1tdemo,,0,
srdemo,,0,
hubasic1,,0,
hubasic2,,0,
turbobas,,0,
turbobasa,,0,
turbzbas,,0,
tapbas,,0,
dbbasic,,0,
cpm22,,0,
swordos,,0,
swordosa,,0,
jodanos,,0,
jodanosa,,0,
xdos,,0,
extrahyp,,0,
extrahypa,,0,
hyperdsk,,0,
jetterm,,0,
filemast,,0,
tap2dsk,,0,
graphtol,,0,
newfmdrv,,0,
davinci,,0,
expertx1,,0,
dskanlzr,,0,
fmdata,,0,
unk_fl1,,0,
blank,,0,
basic1,,0,
basic2,,0,
game6,,0,
game01,,0,
game02,,0,
game03,,0,
game04,,0,
game05,,0,
game06,,0,
game07,,0,
game08,,0,
game09,,0,
game10,,0,
game11,,0,
game12,,0,
game13,,0,
game14,,0,
game15,,0,
game16,,0,
game17,,0,
game18,,0,
game19,,0,
game20,,0,
x1gmpk1,,0,
x1gmpk2,,0,
x1gmpk3,,0,
casgame1,,0,
casgame2,,0,
gamee,,0,
gameea,,0,
gamepck1,,0,
gamepck2,,0,
gamepck3,,0,
gamepck4,,0,
gamepk1,,0,
gamepk2,,0,
jodanpk1,,0,
mbm,,0,
uedabgm1,,0,
uedabgm2,,0,
